board_id,fe_id,channel,bl_e,bl_t,dead_time,do_t1_delay,g_e,g_q,g_t,masked,meas_mode,qdc_max_intg_t,qdc_min_intg_t,thr_e,thr_e_bl,thr_t1,thr_t1_bl,thr_t2,thr_t2_bl,trig_b,trig_e,trig_q,trig_t
57,2,48,6,54,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,60,15,58,15,57,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,49,6,54,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,60,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,5,6,53,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,57,15,59,15,58,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,50,5,54,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,47,15,54,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,51,6,55,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,58,15,57,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,52,6,56,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,56,15,55,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,53,5,58,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,45,15,58,15,57,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,54,5,54,0,"3_ns",300,"3_65",3000,0,"qdc",30,30,62,47,15,59,15,57,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,55,5,57,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,46,15,57,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,56,6,55,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,59,15,59,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,57,5,58,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,46,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,58,6,54,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,57,15,58,15,58,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,59,6,54,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,58,15,55,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,6,6,52,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,56,15,53,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,60,5,56,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,45,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,61,5,55,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,46,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,62,6,56,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,58,15,59,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,63,5,58,0,"3_ns",300,"3_65",3000,0,"qdc",24,24,62,44,15,58,15,57,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,7,6,56,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,59,15,58,15,58,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,8,6,58,0,"3_ns",300,"3_65",3000,0,"qdc",31,31,62,59,15,59,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,9,5,60,0,"3_ns",300,"3_65",3000,0,"qdc",28,28,62,46,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,3,32,6,59,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,54,15,59,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,3,33,6,58,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,58,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,3,34,6,49,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,60,15,50,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,3,35,6,56,0,"3_ns",300,"3_65",3000,0,"qdc",23,23,62,54,15,53,15,60,"t1_or_t2","not_t2","t2","t1_and_t2"
57,3,36,6,52,0,"3_ns",300,"3_65",3000,0,"qdc",28,28,62,55,15,53,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,3,37,5,56,0,"3_ns",300,"3_65",3000,0,"qdc",24,24,62,47,15,57,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,3,38,5,50,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,46,15,54,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,3,39,6,56,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,56,15,55,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,3,40,5,56,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,45,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,3,41,5,50,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,47,15,57,15,54,"t1_or_t2","not_t2","t2","t1_and_t2"
